start_dt,arv_dt,start_emd,arv_emd,sex_nm,agegrd_nm,start_arv_place_type,mvmn_time_sum,mvmn_dstc,popl_cnt
2019-09-30 10:00,2019-10-01 01:00,1102068,2405069,M,45,EH,906,259578,3.18
2019-09-30 10:00,2019-10-01 01:00,1103058,3501174,F,35,HE,905,191643,3.03
2019-09-30 10:00,2019-10-01 01:00,1116069,3901012,F,30,EE,891,454174,2.41
2019-09-30 10:00,2019-10-01 01:00,1124052,2405073,F,20,EE,900,260758,2.19
2019-09-30 10:00,2019-10-01 01:20,3202066,1104071,M,55,WE,920,88968,3.30
2019-09-30 10:00,2019-10-01 01:40,1116069,3902052,F,15,EE,931,479038,4.08
2019-09-30 10:00,2019-10-01 01:40,1123058,3708052,M,35,EE,944,156166,6.05
2019-09-30 10:00,2019-10-01 02:40,1102057,3202056,F,50,WE,983,89079,3.12
2019-09-30 10:00,2019-10-01 03:00,1121057,2404080,F,20,EE,1027,252351,2.15
2019-09-30 10:00,2019-10-01 05:00,1121068,3239031,M,25,EE,1153,119088,2.23
2019-09-30 10:00,2019-10-01 05:40,1112051,3128052,M,55,EE,1185,69445,3.31
2019-09-30 10:00,2019-10-01 06:00,1124065,3302036,M,60,EE,1192,65929,3.55
2019-09-30 10:00,2019-10-01 07:20,3902031,1103069,F,25,EW,1280,471011,2.07
2019-09-30 10:00,2019-10-01 08:20,1123072,3504051,M,65,EE,1343,214099,4.08
2019-09-30 10:00,2019-10-01 08:40,1116069,3901063,M,25,EE,1366,457373,2.30
2019-09-30 10:00,2019-10-01 09:20,1124075,3404033,M,55,HE,1392,80091,3.31
2019-09-30 10:00,2019-10-01 09:20,3402037,1111065,F,60,EE,1388,118677,3.78
2019-09-30 10:00,2019-10-01 09:40,1110062,3206052,M,65,EE,1418,148994,4.09
2019-09-30 10:00,2019-10-01 09:40,1116067,3739033,M,65,EE,1428,224058,4.09
2019-09-30 10:00,2019-10-01 10:00,1109061,3304455,F,70,EW,1436,112304,5.73
2019-09-30 10:00,2019-10-01 10:00,1111079,3303033,M,45,HE,1439,125459,3.17
